Date,TXDATA.Death,TXDATA.DeathIncrease,TXDATA.HospCurr,TXDATA.IcuCurr
2020-3-4,0,0,0,0
2020-3-5,0,0,0,0
2020-3-6,0,0,0,0
2020-3-7,0,0,0,0
2020-3-8,0,0,0,0
2020-3-9,0,0,0,0
2020-3-10,0,0,0,0
2020-3-11,0,0,0,0
2020-3-12,0,0,0,0
2020-3-13,0,0,0,0
2020-3-14,0,0,0,0
2020-3-15,0,0,0,0
2020-3-16,0,0,0,0
2020-3-17,1,1,0,0
2020-3-18,2,1,0,0
2020-3-19,3,1,0,0
2020-3-20,5,2,0,0
2020-3-21,5,0,0,0
2020-3-22,5,0,0,0
2020-3-23,8,3,0,0
2020-3-24,9,1,0,0
2020-3-25,12,3,0,0
2020-3-26,18,6,0,0
2020-3-27,23,5,0,0
2020-3-28,27,4,0,0
2020-3-29,34,7,0,0
2020-3-30,34,0,0,0
2020-3-31,41,7,196,0
2020-4-1,58,17,196,0
2020-4-2,70,12,196,0
2020-4-3,90,20,196,0
2020-4-4,105,15,196,0
2020-4-5,127,22,827,0
2020-4-6,140,13,1153,0
2020-4-7,154,14,1252,0
2020-4-8,177,23,1491,0
2020-4-9,199,22,1439,0
2020-4-10,226,27,1532,0
2020-4-11,254,28,1514,563
2020-4-12,271,17,1338,591
2020-4-13,287,16,1176,594
2020-4-14,318,31,1409,688
2020-4-15,364,46,1538,663
2020-4-16,393,29,1459,694
2020-4-17,428,35,1522,583
2020-4-18,453,25,1321,624
2020-4-19,477,24,1471,620
2020-4-20,495,18,1411,636
2020-4-21,517,22,1419,691
2020-4-22,543,26,1678,689
2020-4-23,561,18,1649,670
2020-4-24,593,32,1674,651
2020-4-25,623,30,1597,645
2020-4-26,648,25,1542,660
2020-4-27,663,15,1563,684
2020-4-28,690,27,1682,718
2020-4-29,732,42,1702,704
2020-4-30,782,50,1686,736
2020-5-1,816,34,1778,711
2020-5-2,847,31,1725,624
2020-5-3,867,20,1540,619
2020-5-4,884,17,1533,689
2020-5-5,906,22,1888,726
2020-5-6,948,42,1812,716
2020-5-7,973,25,1750,697
2020-5-8,1004,31,1734,674
2020-5-9,1049,45,1735,661
2020-5-10,1088,39,1626,610
2020-5-11,1100,12,1525,699
2020-5-12,1133,33,1725,674
2020-5-13,1158,25,1676,673
2020-5-14,1216,58,1648,683
2020-5-15,1272,56,1716,687
2020-5-16,1305,33,1791,604
2020-5-17,1336,31,1512,618
2020-5-18,1347,11,1551,675
2020-5-19,1369,22,1732,694
2020-5-20,1419,50,1791,690
2020-5-21,1440,21,1680,665
2020-5-22,1480,40,1578,666
2020-5-23,1506,26,1688,643
2020-5-24,1506,0,1572,657
2020-5-25,1527,21,1511,647
2020-5-26,1536,9,1534,671
2020-5-27,1562,26,1645,694
2020-5-28,1601,39,1692,747
2020-5-29,1626,25,1701,753
2020-5-30,1626,0,1752,731
2020-5-31,1672,46,1684,748
2020-6-1,1678,6,1756,762
2020-6-2,1698,20,1773,748
2020-6-3,1734,36,1487,730
2020-6-4,1767,33,1796,742
2020-6-5,1788,21,1855,737
2020-6-6,1819,31,1822,763
2020-6-7,1830,11,1878,743
2020-6-8,1830,0,1935,784
2020-6-9,1853,23,2056,857
2020-6-10,1885,32,2153,809
2020-6-11,1920,35,2008,810
2020-6-12,1939,19,2166,828
2020-6-13,1957,18,2242,817
2020-6-14,1976,19,2287,861
2020-6-15,1983,7,2326,895
2020-6-16,2029,46,2518,964
2020-6-17,2062,33,2793,1010
2020-6-18,2105,43,2947,1088
2020-6-19,2140,35,3148,1113
2020-6-20,2165,25,3247,1143
2020-6-21,2182,17,3409,1220
2020-6-22,2192,10,3711,1325
2020-6-23,2220,28,4092,1399
2020-6-24,2249,29,4389,1460
2020-6-25,2296,47,4739,1586
2020-6-26,2324,28,5102,1727
2020-6-27,2366,42,5523,1684
2020-6-28,2393,27,5497,1828
2020-6-29,2403,10,5913,1894
2020-6-30,2424,21,6533,1993
2020-7-1,2481,57,6904,2155
2020-7-2,2525,44,7382,2231
2020-7-3,2575,50,7652,2338
2020-7-4,2608,33,7890,2449
2020-7-5,2637,29,8181,2517
2020-7-6,2655,18,8698,2658
2020-7-7,2715,60,9286,2730
2020-7-8,2813,98,9610,2878
2020-7-9,2918,105,9689,2923
2020-7-10,3013,95,10002,2913
2020-7-11,3112,99,10083,2995
2020-7-12,3192,80,10410,3053
2020-7-13,3235,43,10405,3144
2020-7-14,3322,87,10569,3104
2020-7-15,3432,110,10471,3169
2020-7-16,3561,129,10457,3216
2020-7-17,3735,174,10632,3263
2020-7-18,3865,130,10658,3412
2020-7-19,3958,93,10592,3197
2020-7-20,4020,62,10569,3281
2020-7-21,4151,131,10848,3329
2020-7-22,4348,197,10893,3160
2020-7-23,4521,173,10893,3228
2020-7-24,4717,196,10893,3180
2020-7-25,4885,168,10893,3209
2020-7-26,5038,153,10893,3352
2020-7-27,5713,675,10893,3136
2020-7-28,5877,164,9593,3087
2020-7-29,6190,313,9595,3036
2020-7-30,6274,84,9296,3117
2020-7-31,6569,295,9336,3115
2020-8-1,6837,268,8969,3014
2020-8-2,6837,0,8969,3045
2020-8-3,7016,179,8819,3045
2020-8-4,7261,245,8674,3006
2020-8-5,7497,236,8455,2917
2020-8-6,7803,306,8302,2917
2020-8-7,8096,293,8065,2742
2020-8-8,8343,247,7872,2730
2020-8-9,8459,116,7437,2608
2020-8-10,8490,31,7304,2552
2020-8-11,8710,220,7216,2495
2020-8-12,9034,324,7028,2479
2020-8-13,9289,255,6879,2435
2020-8-14,9602,313,6632,2380
2020-8-15,9840,238,6481,2306
2020-8-16,9983,143,6267,2269
2020-8-17,10034,51,6200,2240
2020-8-18,10250,216,6210,2179
2020-8-19,10559,309,5974,2107
2020-8-20,10793,234,5635,1979
2020-8-21,11051,258,5566,1979
2020-8-22,11266,215,5274,1963
2020-8-23,11370,104,5186,1878
2020-8-24,11395,25,5019,1809
2020-8-25,11576,181,4907,1799
2020-8-26,11805,229,4806,1723
2020-8-27,12070,265,4489,1704
2020-8-28,12266,196,4422,1636
2020-8-29,12420,154,4273,1648
2020-8-30,12510,90,4172,1566
2020-8-31,12536,26,4203,1525
2020-9-1,12681,145,4144,1525
2020-9-2,12870,189,4149,1476
2020-9-3,13091,221,4075,1433
2020-9-4,13231,140,3889,1433
2020-9-5,13408,177,3973,1409
2020-9-6,13472,64,3715,1409
2020-9-7,13492,20,3537,1322
2020-9-8,13553,61,3701,1322
2020-9-9,13692,139,3604,1347
2020-9-10,13853,161,3575,1267
2020-9-11,13997,144,3465,1198
2020-9-12,14143,146,3371,1174
2020-9-13,14190,47,3319,1140
2020-9-14,14211,21,3391,1165
2020-9-15,14343,132,3311,1151
2020-9-16,14478,135,3249,1139
2020-9-17,14590,112,3246,1140
2020-9-18,14713,123,3172,1107
2020-9-19,14848,135,3124,1083
2020-9-20,14893,45,3081,1057
2020-9-21,14917,24,3132,1073
2020-9-22,14994,77,3207,1065
2020-9-23,15129,135,3195,1041
2020-9-24,15267,138,3204,1051
2020-9-25,15364,97,3221,1051
2020-9-26,15485,121,3209,1056
2020-9-27,15522,37,3217,1056
2020-9-28,15533,11,3201,1056
2020-9-29,15604,71,3251,1044
