Date,VADATA.Death,VADATA.DeathIncrease,VADATA.HospCurr,VADATA.IcuCurr
2020-3-4,0,0,0,0
2020-3-5,0,0,0,0
2020-3-6,0,0,0,0
2020-3-7,0,0,0,0
2020-3-8,0,0,0,0
2020-3-9,0,0,0,0
2020-3-10,0,0,0,0
2020-3-11,0,0,0,0
2020-3-12,0,0,0,0
2020-3-13,0,0,0,0
2020-3-14,0,0,0,0
2020-3-15,1,1,0,0
2020-3-16,1,0,0,0
2020-3-17,1,0,0,0
2020-3-18,1,0,0,0
2020-3-19,2,1,0,0
2020-3-20,2,0,0,0
2020-3-21,2,0,0,0
2020-3-22,3,1,0,0
2020-3-23,6,3,0,0
2020-3-24,7,1,0,0
2020-3-25,9,2,0,0
2020-3-26,13,4,0,0
2020-3-27,14,1,0,0
2020-3-28,17,3,0,0
2020-3-29,22,5,0,0
2020-3-30,25,3,0,0
2020-3-31,27,2,0,0
2020-4-1,34,7,0,0
2020-4-2,41,7,246,0
2020-4-3,46,5,0,0
2020-4-4,52,6,0,0
2020-4-5,51,-1,0,0
2020-4-6,54,3,0,0
2020-4-7,63,9,0,0
2020-4-8,75,12,0,0
2020-4-9,109,34,669,469
2020-4-10,121,12,1238,457
2020-4-11,130,9,1252,426
2020-4-12,141,11,751,440
2020-4-13,149,8,1238,428
2020-4-14,154,5,1282,422
2020-4-15,195,41,1298,394
2020-4-16,208,13,1337,427
2020-4-17,231,23,1308,400
2020-4-18,258,27,1307,398
2020-4-19,277,19,1319,388
2020-4-20,300,23,1296,396
2020-4-21,324,24,1331,403
2020-4-22,349,25,1374,419
2020-4-23,372,23,1379,400
2020-4-24,410,38,1399,379
2020-4-25,436,26,1405,357
2020-4-26,448,12,1436,387
2020-4-27,458,10,1455,389
2020-4-28,492,34,1508,376
2020-4-29,522,30,1566,387
2020-4-30,552,30,1550,372
2020-5-1,581,29,1431,366
2020-5-2,616,35,1426,375
2020-5-3,660,44,1413,385
2020-5-4,684,24,1463,348
2020-5-5,713,29,1496,361
2020-5-6,713,0,1496,361
2020-5-7,769,56,1613,371
2020-5-8,812,43,1625,378
2020-5-9,827,15,1593,367
2020-5-10,839,12,1555,351
2020-5-11,850,11,1504,362
2020-5-12,891,41,1529,364
2020-5-13,927,36,1526,374
2020-5-14,955,28,1533,355
2020-5-15,977,22,1511,362
2020-5-16,1002,25,1505,381
2020-5-17,1009,7,1524,379
2020-5-18,1014,5,1502,361
2020-5-19,1041,27,1497,377
2020-5-20,1074,33,1536,370
2020-5-21,1099,25,1491,351
2020-5-22,1136,37,1459,366
2020-5-23,1159,23,1384,330
2020-5-24,1171,12,1351,354
2020-5-25,1208,37,1376,349
2020-5-26,1236,28,1403,366
2020-5-27,1281,45,1459,390
2020-5-28,1338,57,1502,416
2020-5-29,1358,20,1524,373
2020-5-30,1370,12,1471,372
2020-5-31,1375,5,1458,371
2020-6-1,1392,17,1371,347
2020-6-2,1407,15,1362,336
2020-6-3,1428,21,1311,313
2020-6-4,1445,17,1266,321
2020-6-5,1453,8,1205,320
2020-6-6,1460,7,1171,324
2020-6-7,1472,12,1186,316
2020-6-8,1477,5,1173,308
2020-6-9,1496,19,1169,311
2020-6-10,1514,18,1155,296
2020-6-11,1520,6,1069,273
2020-6-12,1534,14,1026,297
2020-6-13,1541,7,959,295
2020-6-14,1546,5,958,334
2020-6-15,1552,6,902,269
2020-6-16,1570,18,904,241
2020-6-17,1583,13,938,249
2020-6-18,1586,3,857,241
2020-6-19,1602,16,862,251
2020-6-20,1607,5,880,267
2020-6-21,1611,4,863,243
2020-6-22,1620,9,848,240
2020-6-23,1645,25,847,245
2020-6-24,1661,16,886,235
2020-6-25,1675,14,854,237
2020-6-26,1700,25,854,219
2020-6-27,1724,24,819,234
2020-6-28,1732,8,818,235
2020-6-29,1740,8,796,225
2020-6-30,1763,23,902,230
2020-7-1,1786,23,892,205
2020-7-2,1816,30,888,206
2020-7-3,1845,29,818,207
2020-7-4,1849,4,808,207
2020-7-5,1853,4,792,202
2020-7-6,1853,0,783,194
2020-7-7,1881,28,902,221
2020-7-8,1905,24,971,230
2020-7-9,1937,32,956,215
2020-7-10,1958,21,1006,234
2020-7-11,1962,4,1020,230
2020-7-12,1966,4,1045,228
2020-7-13,1968,2,1129,243
2020-7-14,1977,9,1127,249
2020-7-15,1992,15,1081,246
2020-7-16,2007,15,1134,248
2020-7-17,2013,6,1171,247
2020-7-18,2025,12,1166,254
2020-7-19,2027,2,1186,249
2020-7-20,2031,4,1158,265
2020-7-21,2048,17,1189,258
2020-7-22,2051,3,1157,253
2020-7-23,2054,3,1218,257
2020-7-24,2067,13,1250,274
2020-7-25,2075,8,1201,266
2020-7-26,2078,3,1174,268
2020-7-27,2082,4,1200,260
2020-7-28,2095,13,1294,261
2020-7-29,2125,30,1350,276
2020-7-30,2141,16,1357,284
2020-7-31,2174,33,1334,279
2020-8-1,2215,41,1256,275
2020-8-2,2218,3,1172,267
2020-8-3,2218,0,1205,271
2020-8-4,2244,26,1255,282
2020-8-5,2274,30,1304,283
2020-8-6,2299,25,1349,284
2020-8-7,2317,18,1372,284
2020-8-8,2322,5,1258,271
2020-8-9,2326,4,1200,260
2020-8-10,2327,1,1251,279
2020-8-11,2344,17,1293,280
2020-8-12,2352,8,1281,290
2020-8-13,2363,11,1258,289
2020-8-14,2370,7,1299,268
2020-8-15,2381,11,1271,279
2020-8-16,2381,0,1184,283
2020-8-17,2385,4,1173,281
2020-8-18,2396,11,1253,300
2020-8-19,2410,14,1243,280
2020-8-20,2427,17,1266,276
2020-8-21,2436,9,1233,263
2020-8-22,2443,7,1154,254
2020-8-23,2467,24,1155,251
2020-8-24,2471,4,1127,256
2020-8-25,2494,23,1174,273
2020-8-26,2515,21,1170,265
2020-8-27,2515,0,1174,264
2020-8-28,2550,35,1101,261
2020-8-29,2568,18,1101,245
2020-8-30,2569,1,1090,251
2020-8-31,2580,11,1082,257
2020-9-1,2612,32,1039,258
2020-9-2,2641,29,1114,266
2020-9-3,2652,11,1130,257
2020-9-4,2662,10,1101,244
2020-9-5,2677,15,1098,243
2020-9-6,2678,1,1083,232
2020-9-7,2684,6,1061,249
2020-9-8,2686,2,1051,240
2020-9-9,2697,11,1072,252
2020-9-10,2708,11,1096,255
2020-9-11,2711,3,1120,249
2020-9-12,2722,11,995,228
2020-9-13,2724,2,1012,232
2020-9-14,2743,19,1006,220
2020-9-15,2839,96,1015,228
2020-9-16,2884,45,1027,212
2020-9-17,2920,36,995,225
2020-9-18,2949,29,945,212
2020-9-19,2990,41,960,219
2020-9-20,3015,25,939,263
2020-9-21,3021,6,995,217
2020-9-22,3060,39,940,213
2020-9-23,3089,29,916,215
2020-9-24,3113,24,982,219
2020-9-25,3136,23,965,221
2020-9-26,3144,8,924,202
2020-9-27,3159,15,868,198
2020-9-28,3172,13,890,193
2020-9-29,3187,15,958,202
2020-9-30,3208,21,908,190
2020-10-1,3228,20,913,210
2020-10-2,3250,22,890,201
2020-10-3,3270,20,906,191
2020-10-4,3273,3,877,197
2020-10-5,3276,3,925,213
2020-10-6,3291,15,926,219
2020-10-7,3303,12,1003,228
2020-10-8,3328,25,933,196
2020-10-9,3344,16,963,205
